title,price,image_link
Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий ,16150 сом,https://www.kivano.kg/images/product/103434/1645002019_77390500.png
Сотовый телефон Apple iPhone 13 128GB зеленый,70810 сом,https://www.kivano.kg/images/product/105482/1650357323_84906500.png
Сотовый телефон Samsung Galaxy A03s 2/32GB черный,10220 сом,https://www.kivano.kg/images/product/109066/1658515264_83337500.jpg
Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой,16150 сом,https://www.kivano.kg/images/product/103435/1645002057_84343700.jpg
Сотовый телефон Samsung Galaxy A03s 2/32GB синий,10220 сом,https://www.kivano.kg/images/product/109067/1658515281_67990100.jpg
Сотовый телефон Xiaomi Redmi 10 4/128GB серый,13600 сом,https://www.kivano.kg/images/product/97292/1630854310_48805900.jpg
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золота,19430 сом,https://www.kivano.kg/images/product/90126/1615978865_73950300.jpg
Сотовый телефон Philips Xenium V526 LTE синий,17660 сом,https://www.kivano.kg/images/product/27150/27150.jpg
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) голубой,33290 сом,https://www.kivano.kg/images/product/95762/1627810712_09238000.jpg
Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) черный,10730 сом,https://www.kivano.kg/images/product/98072/1632163066_89827900.jpg
Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленый,106220 сом,https://www.kivano.kg/images/product/104490/1647674948_37575000.png
Сотовый телефон Apple iPhone 13 Pro 256GB зеленый,97600 сом,https://www.kivano.kg/images/product/104491/1647674899_77661000.png
Сотовый телефон Xiaomi Poco M4 Pro 4G 6/128GB черный,16910 сом,https://www.kivano.kg/images/product/104511/1647721515_92611100.png
Сотовый телефон Samsung Galaxy S22 Ultra 12/512GB черный,98100 сом,https://www.kivano.kg/images/product/105280/1649746479_54223000.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/512GB белый,98100 сом,https://www.kivano.kg/images/product/105281/1649746615_94381600.jpg
Сотовый телефон Xiaomi Poco X4 Pro 8/256 синий,25270 сом,https://www.kivano.kg/images/product/104514/1647732278_60639400.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/512GB фиолетовый,98100 сом,https://www.kivano.kg/images/product/105282/1649747022_51573700.jpg
Сотовый телефон Xiaomi Poco X4 Pro 8/256 желтый,25270 сом,https://www.kivano.kg/images/product/104515/1647732390_08051000.jpg
Сотовый телефон Samsung Galaxy S22 Ultra 12/512GB зеленый,98100 сом,https://www.kivano.kg/images/product/105283/1649747251_14125800.jpg
Сотовый телефон Xiaomi Poco X4 Pro 8/256 черный,25270 сом,https://www.kivano.kg/images/product/104516/1647732556_13519100.jpg
Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий ,16150 сом,https://www.kivano.kg/images/product/103434/1645002019_77390500.png
Сотовый телефон Apple iPhone 13 128GB зеленый,70810 сом,https://www.kivano.kg/images/product/105482/1650357323_84906500.png
Сотовый телефон Samsung Galaxy A03s 2/32GB черный,10220 сом,https://www.kivano.kg/images/product/109066/1658515264_83337500.jpg
Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой,16150 сом,https://www.kivano.kg/images/product/103435/1645002057_84343700.jpg
Сотовый телефон Samsung Galaxy A03s 2/32GB синий,10220 сом,https://www.kivano.kg/images/product/109067/1658515281_67990100.jpg
Сотовый телефон Xiaomi Redmi 10 4/128GB серый,13600 сом,https://www.kivano.kg/images/product/97292/1630854310_48805900.jpg
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золота,19430 сом,https://www.kivano.kg/images/product/90126/1615978865_73950300.jpg
Сотовый телефон Philips Xenium V526 LTE синий,17660 сом,https://www.kivano.kg/images/product/27150/27150.jpg
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) голубой,33290 сом,https://www.kivano.kg/images/product/95762/1627810712_09238000.jpg
